;
;  Proficy Historian SDK Data Export 
;  Generated: 02/17/2023 05:37:07 PM
;  Start Time: 02/16/2023 11:30:00 AM
;  End Time: 02/17/2023 12:30:00 AM
;  Interval: 60000 milliseconds
;  Records Returned: 780
;
Timestamp, SPLYO.CONDENSER_TEMPERATURE.F_CV, SPLYO.SHELF_OUTLET.F_CV, SPLYO.SHELF_INLET.F_CV, SPLYO.SHELF_SP.F_CV, SPLYO.TC_AVG.F_CV, SPLYO.VACUUM_SP.F_CV, SPLYO.CHAMBER_CM.F_CV, SPLYO.ROUGH_VACUUM.F_CV, SPLYO.CHAMBER_PIRANI.F_CV, SPLYO.CONDENSER_VACUUM.F_CV, SPLYO.CHAMBER_PRESSURE.F_CV
02/16/2023 11:31:00, -40.8, 20.8, 21.8, -15, 0, 0, 2100, 703, 1046, 2100, -1.2
02/16/2023 11:32:00, -49.1, 20.4, 18, -15, 0, 0, 2100, 703, 1046, 2100, -1.2
02/16/2023 11:33:00, -49.8, 15.9, 8.9, -15, 0, 0, 2100, 705, 1046, 2100, -1.2
02/16/2023 11:34:00, -49.8, 8.4, 1.6, -15, 0, 0, 2100, 703, 1046, 2100, -1.2
02/16/2023 11:35:00, -43.4, 3.8, 2.6, -15, 0, 0, 2100, 705, 1046, 2100, -1.2
02/16/2023 11:36:00, -40.2, 3.3, 3.8, -15, 0, 0, 2100, 706, 1046, 2100, -1.2
02/16/2023 11:37:00, -38.8, 3.7, 4.6, -15, 0, 0, 2100, 703, 1046, 2100, -1.2
02/16/2023 11:38:00, -37.7, 4.4, 5.2, -15, 0, 0, 2100, 705, 1046, 2100, -1.2
02/16/2023 11:39:00, -36.9, 5, 5.9, -15, 0, 0, 2100, 705, 1047, 2100, -1.2
02/16/2023 11:40:00, -44.4, 4.7, 0.8, -15, 0, 0, 2100, 706, 1047, 2100, -1.2
02/16/2023 11:41:00, -42.8, 0.2, -5.3, -15, 0, 0, 2100, 706, 1047, 2100, -1.2
02/16/2023 11:42:00, -40, -5.3, -7.3, -15, 0, 0, 2100, 706, 1047, 2100, -1.2
02/16/2023 11:43:00, -37.5, -6.5, -6.5, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:44:00, -44.9, -8.5, -13.2, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:45:00, -46.4, -12.7, -16.1, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:46:00, -43.4, -14.1, -13.8, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:47:00, -41.8, -13.1, -12.3, -15, 0, 0, 2100, 706, 1047, 2100, -1.2
02/16/2023 11:48:00, -41.1, -12, -11.1, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:49:00, -40.2, -10.8, -9.9, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:50:00, -39.3, -9.6, -8.7, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:51:00, -38.6, -8.5, -7.6, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:52:00, -38, -7.4, -6.6, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:53:00, -37.6, -6.4, -5.5, -15, 0, 0, 2100, 707, 1047, 2100, -1.2
02/16/2023 11:54:00, -37.2, -5.4, -4.5, -15, 0, 0, 2100, 709, 1047, 2100, -1.2
02/16/2023 11:55:00, -36.9, -4.4, -3.6, -15, 0, 0, 2100, 710, 1047, 2100, -1.2
02/16/2023 11:56:00, -36.5, -3.5, -2.7, -15, 0, 0, 2100, 709, 1047, 2100, -1.2
02/16/2023 11:57:00, -36.2, -2.6, -1.8, -15, 0, 0, 2100, 710, 1047, 2100, -1.2
02/16/2023 11:58:00, -36, -1.8, -0.9, -15, 0, 0, 2100, 710, 1047, 2100, -1.2
02/16/2023 11:59:00, -35.7, -0.9, -0.1, -15, 0, 0, 2100, 710, 1047, 2100, -1.2
02/16/2023 12:00:00, -35.5, -0.2, 0.6, -15, 0, 0, 2100, 712, 1047, 2100, -1.2
02/16/2023 12:01:00, -35.4, 0.4, 1.2, -15, 0, 0, 2100, 710, 1047, 2100, -1.2
02/16/2023 12:02:00, -37.6, 0.1, -2.8, -15, 0, 0, 2100, 710, 1047, 2100, -1.2
02/16/2023 12:03:00, -38, -3.6, -9.9, -15, 0, 0, 2100, 712, 1047, 2100, -1.2
02/16/2023 12:04:00, -38.2, -9.7, -13.7, -15, 0, 0, 2100, 712, 1047, 2100, -1.2
02/16/2023 12:05:00, -36.2, -11.7, -12.2, -15, 0, 0, 2100, 712, 1047, 2100, -1.2
02/16/2023 12:06:00, -42.3, -12.5, -16.5, -15, 0, 0, 2100, 712, 1047, 2100, -1.2
02/16/2023 12:07:00, -47.3, -15.7, -17.3, -15, 0, 0, 2100, 712, 1047, 2100, -1.2
02/16/2023 12:08:00, -54.8, -16.5, -17.3, -15, 0, 0, 2100, 712, 1047, 2100, -1.2
02/16/2023 12:09:00, -57.2, -16.6, -17.2, -15, 0, 0, 2100, 712, 1047, 2100, -1.2
02/16/2023 12:10:00, -58.5, -16.4, -16.5, -15, 0, 0, 2100, 713, 1047, 2100, -1.2
02/16/2023 12:11:00, -59.4, -16, -16, -15, 0, 0, 2100, 715, 1047, 2100, -1.2
02/16/2023 12:12:00, -60.4, -15.6, -15.8, -15, 0, 0, 2100, 713, 1047, 2100, -1.2
02/16/2023 12:13:00, -62, -15.3, -15.7, -15, 0, 0, 2100, 715, 1047, 2100, -1.2
02/16/2023 12:14:00, -63.8, -15.2, -15.5, -15, 0, 0, 2100, 713, 1047, 2100, -1.2
02/16/2023 12:15:00, -65.7, -15.1, -15.3, -15, 0, 0, 2100, 715, 1047, 2100, -1.2
02/16/2023 12:16:00, -67.7, -15, -15.2, -15, 0, 0, 2100, 715, 1047, 2100, -1.2
02/16/2023 12:17:00, -69.4, -14.9, -15.1, -15, 0, 0, 2100, 716, 1047, 2100, -1.2
02/16/2023 12:18:00, -70.8, -14.7, -15.1, -15, 0, 0, 2100, 715, 1047, 2100, -1.2
02/16/2023 12:19:00, -72.1, -14.7, -15, -15, 0, 0, 2100, 715, 1047, 2100, -1.2
02/16/2023 12:20:00, -72.9, -14.7, -15.1, -15, 0, 0, 2100, 715, 1047, 2100, -1.2
02/16/2023 12:21:00, -73.8, -14.6, -15.1, -15, 0, 0, 2100, 715, 1047, 2100, -1.2
02/16/2023 12:22:00, -74.6, -14.6, -15, -15, 0, 0, 2100, 716, 1047, 2100, -1.2
02/16/2023 12:23:00, -75.2, -14.6, -15, -15, 0, 0, 2100, 716, 1047, 2100, -1.2
02/16/2023 12:24:00, -75.7, -14.6, -15, -15, 0, 0, 2100, 716, 1047, 2100, -1.2
02/16/2023 12:25:00, -76.4, -14.6, -15, -15, 0, 0, 2100, 718, 1047, 2100, -1.2
02/16/2023 12:26:00, -76.9, -14.5, -15, -15, 0, 0, 2100, 716, 1047, 2100, -1.2
02/16/2023 12:27:00, -77.2, -14.5, -15, -15, 0, 0, 2100, 716, 1047, 2100, -1.2
02/16/2023 12:28:00, -77.7, -14.6, -15, -15, 0, 0, 2100, 718, 1047, 2100, -1.2
02/16/2023 12:29:00, -78, -14.6, -15, -15, 0, 0, 2100, 716, 1047, 2100, -1.2
02/16/2023 12:30:00, -78.3, -14.6, -15, -15, 0, 0, 2100, 718, 1047, 2100, -1.2
02/16/2023 12:31:00, -78.7, -14.7, -15.1, -15, 0, 0, 2100, 716, 1047, 2100, -1.3
02/16/2023 12:32:00, -79, -14.9, -15.1, -15, 0, 0, 2100, 716, 1047, 2100, -1.3
02/16/2023 12:33:00, -79.4, -15, -15.1, -15, 0, 0, 2100, 715, 1047, 2100, -1.3
02/16/2023 12:34:00, -79.8, -15, -15.1, -15, 0, 0, 2100, 489, 1047, 2100, -5.9
02/16/2023 12:35:00, -80.1, -15.1, -15.2, -15, 0, 0, 2100, 489, 1047, 2100, -5.9
02/16/2023 12:36:00, -80.4, -15.1, -15.1, -15, 0, 0, 2100, 488, 1047, 2100, -5.9
02/16/2023 12:37:00, -80.7, -15.1, -15.1, -15, 0, 0, 2100, 488, 1047, 2100, -6.0
02/16/2023 12:38:00, -80.8, -15, -15, -15, 0, 0, 2100, 488, 1047, 2100, -5.9
02/16/2023 12:39:00, -81, -15, -15, -15, 0, 0, 2100, 488, 1047, 2100, -6.0
02/16/2023 12:40:00, -81.2, -15, -15, -15, 0, 0, 2100, 487, 1047, 2100, -6.0
02/16/2023 12:41:00, -81.3, -15, -15, -15, 0, 0, 2100, 487, 1047, 2100, -6.0
02/16/2023 12:42:00, -81.5, -15, -15, -15, 0, 0, 2100, 487, 1047, 2100, -6.0
02/16/2023 12:43:00, -81.6, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6.0
02/16/2023 12:44:00, -81.6, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6.0
02/16/2023 12:45:00, -81.7, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6.0
02/16/2023 12:46:00, -81.8, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6.0
02/16/2023 12:47:00, -81.8, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6.0
02/16/2023 12:48:00, -81.9, -15, -15, -15, 0, 0, 2100, 485, 1047, 2100, -6.0
02/16/2023 12:49:00, -81.9, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6
02/16/2023 12:50:00, -81.9, -15, -15, -15, 0, 0, 2100, 485, 1047, 2100, -6
02/16/2023 12:51:00, -81.9, -15, -15, -15, 0, 0, 2100, 485, 1047, 2100, -6
02/16/2023 12:52:00, -82, -15, -15, -15, 0, 0, 2100, 484, 1047, 2100, -6
