Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
0.0,-8.6,999.0,-7.2,-5.3
10.041775,-8.8,999.0,-7.3,-5.4
20.065498,-8.8,999.0,-7.4,-5.4
30.08978,-8.8,999.0,-7.5,-5.5
40.131779,-8.9,999.0,-7.7,-5.6
50.154413,-8.9,999.0,-7.8,-5.6
60.192031,-8.9,999.0,-7.9,-5.7
70.237829,-9.0,999.0,-8.0,-5.9
80.27477,-9.1,999.0,-8.1,-5.9
90.316367,-9.1,999.0,-8.2,-6.0
100.376427,-9.2,999.0,-8.3,-6.2
110.418078,-9.2,999.0,-8.4,-6.2
120.443015,-9.2,999.0,-8.5,-6.4
130.449973,-9.4,999.0,-8.8,-6.4
140.488874,-9.3,999.0,-8.7,-6.6
150.517531,-9.5,999.0,-9.0,-6.7
160.618525,-9.5,999.0,-9.1,-6.9
170.656561,-9.8,999.0,-9.2,-7.0
180.77629,-9.6,999.0,-9.3,-7.1
191.187047,-9.7,999.0,-9.4,-7.3
201.203827,-10.0,999.0,-9.5,-7.4
211.241741,-9.9,999.0,-9.6,-7.6
221.282723,-9.9,999.0,-9.7,-7.7
231.291161,-10.2,999.0,-9.8,-7.8
241.315008,-10.3,999.0,-9.9,-8.0
251.355486,-10.3,999.0,-9.9,-8.0
261.364208,-10.4,999.0,-10.0,-8.2
271.396047,-10.4,999.0,-10.1,-8.4
281.415014,-10.4,999.0,-10.2,-8.5
291.420882,-10.5,999.0,-10.2,-8.6
301.45722,-10.5,999.0,-10.3,-8.8
311.488014,-10.6,999.0,-10.3,-9.1
321.507564,-10.6,999.0,-10.4,-9.1
331.547215,-10.7,999.0,-10.5,-9.1
341.600692,-10.7,999.0,-10.5,-9.4
351.640616,-10.8,999.0,-10.5,-9.5
361.680393,-10.8,999.0,-10.7,-9.6
371.704678,-10.8,999.0,-10.8,-9.7
381.727634,-10.8,999.0,-10.8,-9.8
391.766353,-10.9,999.0,-10.8,-9.9
401.773607,-10.9,999.0,-10.9,-10.0
411.800093,-11.0,999.0,-10.9,-10.1
421.836953,-11.0,999.0,-10.9,-10.1
431.847505,-11.0,999.0,-11.1,-10.3
441.885858,-11.1,999.0,-11.1,-10.3
451.910648,-11.0,999.0,-11.1,-10.4
461.960927,-11.1,999.0,-11.2,-10.5
472.021126,-11.1,999.0,-11.2,-10.6
482.075138,-11.2,999.0,-11.2,-10.7
492.127814,-11.1,999.0,-11.3,-10.8
502.155947,-11.2,999.0,-11.3,-10.9
512.181128,-11.2,999.0,-11.4,-10.9
522.186835,-11.2,999.0,-11.4,-11.0
532.227842,-11.3,999.0,-11.5,-11.0
542.260093,-11.3,999.0,-11.5,-11.1
552.28757,-11.3,999.0,-11.6,-11.2
562.31796,-11.3,999.0,-11.6,-11.2
572.320839,-11.4,999.0,-11.6,-11.3
582.365018,-11.5,999.0,-11.6,-11.4
592.419693,-11.5,999.0,-11.7,-11.4
602.432571,-11.5,999.0,-11.7,-11.5
612.453558,-11.5,999.0,-11.8,-11.6
622.47857,-11.5,999.0,-11.8,-11.5
632.516336,-11.6,999.0,-11.9,-11.6
642.552987,-11.6,999.0,-11.9,-11.7
652.568793,-11.6,999.0,-11.9,-11.8
662.606471,-11.6,999.0,-12.0,-11.8
672.611627,-11.7,999.0,-12.0,-11.9
682.651452,-11.7,999.0,-12.0,-11.9
692.660378,-11.7,999.0,-12.0,-11.9
702.728671,-11.7,999.0,-12.1,-12.1
712.754118,-11.8,999.0,-12.1,-12.1
722.765246,-11.9,999.0,-12.1,-12.1
732.802523,-11.8,999.0,-12.2,-12.1
742.847719,-11.8,999.0,-12.2,-12.2
752.872197,-11.8,999.0,-12.2,-12.2
762.889137,-11.9,999.0,-12.2,-12.3
772.91504,-11.9,999.0,-12.2,-12.4
782.961115,-11.9,999.0,-12.3,-12.4
793.017462,-12.0,999.0,-12.3,-12.4
803.043731,-12.0,999.0,-12.3,-12.4
813.080326,-12.0,999.0,-12.4,-12.5
823.101882,-12.0,999.0,-12.4,-12.5
833.140953,-12.0,999.0,-12.5,-12.6
843.163986,-12.1,999.0,-12.5,-12.6
853.198292,-12.1,999.0,-12.5,-12.6
863.24744,-12.1,999.0,-12.5,-12.7
873.268917,-12.2,999.0,-12.5,-12.7
883.323266,-12.2,999.0,-12.6,-12.7
893.337404,-12.2,999.0,-12.6,-12.8
903.377168,-12.2,999.0,-12.6,-12.8
913.385055,-12.2,999.0,-12.6,-12.9
923.410374,-12.2,999.0,-12.6,-12.9
933.447735,-12.2,999.0,-12.6,-12.9
943.47357,-12.3,999.0,-12.7,-13.0
953.502096,-12.3,999.0,-12.7,-13.0
963.55521,-12.2,999.0,-12.7,-13.0
973.56057,-12.3,999.0,-12.8,-13.0
983.614634,-12.3,999.0,-13.0,-13.0
993.639146,-12.3,999.0,-12.8,-13.3
1003.68503,-12.4,999.0,-12.8,-13.2
1013.70435,-12.3,999.0,-12.8,-13.2
1023.747662,-12.3,999.0,-13.1,-13.1
1033.756587,-12.4,999.0,-12.9,-13.2
1043.773287,-12.4,999.0,-12.9,-13.4
1053.803363,-12.5,999.0,-12.9,-13.5
1063.805395,-12.5,999.0,-12.9,-13.5
1073.843691,-12.5,999.0,-12.9,-13.5
1083.873909,-12.5,999.0,-13.1,-13.6
1093.876925,-12.5,999.0,-13.2,-13.5
1103.918134,-12.5,999.0,-13.2,-13.7
1113.946606,-12.5,999.0,-13.2,-13.6
1123.957336,-12.5,999.0,-13.0,-13.4
1133.963378,-12.5,999.0,-13.3,-13.6
1144.016568,-12.5,999.0,-13.3,-13.7
