;,,,,,,,,,,,,
;  Proficy Historian SDK Data Export ,,,,,,,,,,,,
;  Generated: 05/18/2023 09:55:15 AM,,,,,,,,,,,,
;  Start Time: 02/21/2023 10:30:00 AM,,,,,,,,,,,,
;  End Time: 02/22/2023 12:30:00 AM,,,,,,,,,,,,
;  Interval: 60000 milliseconds,,,,,,,,,,,,
;  Records Returned: 840,,,,,,,,,,,,
;,,,,,,,,,,,,
Timestamp,Elapsed [s], SPLYO.CONDENSER_TEMPERATURE.F_CV, SPLYO.SHELF_OUTLET.F_CV, SPLYO.SHELF_INLET.F_CV, SPLYO.SHELF_SP.F_CV, SPLYO.TC_AVG.F_CV, SPLYO.VACUUM_SP.F_CV, SPLYO.CHAMBER_CM.F_CV, SPLYO.ROUGH_VACUUM.F_CV, SPLYO.CHAMBER_PIRANI.F_CV, SPLYO.CONDENSER_VACUUM.F_CV, SPLYO.CHAMBER_PRESSURE.F_CV
2/21/2023 10:31,0,-88.6,-40.2,-40,-40,0,0,610,1,629,598,-15.6
2/21/2023 10:32,60,-88.3,-40.2,-40,-40,0,0,397,0,434,386,-15.6
2/21/2023 10:33,120,-88,-40.2,-40,-40,0,0,277,0,324,267,-15.6
2/21/2023 10:34,180,-87.6,-40.2,-40,-40,0,0,207,0,258,197,-15.6
2/21/2023 10:35,240,-87.2,-40.2,-40,-40,0,0,163,0,218,153,-15.6
2/21/2023 10:36,300,-86.9,-40.2,-40,-40,0,0,135,0,192,125,-15.7
2/21/2023 10:37,360,-86.7,-40.2,-40,-40,0,0,115,0,174,106,-15.6
2/21/2023 10:38,420,-86.5,-40.2,-39.9,-39.7,0,100,103,0,162,93,-15.7
2/21/2023 10:39,480,-86.7,-40.1,-39.5,-39.2,0,100,102,0,162,85,-15.7
2/21/2023 10:40,540,-87,-39.9,-39,-38.7,0,100,104,0,166,85,-15.6
2/21/2023 10:41,600,-87.8,-39.4,-38.2,-38.2,0,100,114,0,181,104,-15.6
2/21/2023 10:42,660,-87.9,-38.7,-37.8,-37.7,0,100,153,0,223,144,-15.7
2/21/2023 10:43,720,-88.8,-38.1,-37.2,-37.2,0,100,216,0,288,206,-15.6
2/21/2023 10:44,780,-88.8,-37.6,-36.7,-36.7,0,100,288,0,359,277,-15.6
2/21/2023 10:45,840,-89.3,-37.1,-36.2,-36.2,0,100,359,0,430,348,-15.6
2/21/2023 10:46,900,-89.3,-36.5,-35.7,-35.7,0,100,416,0,490,405,-15.7
2/21/2023 10:47,960,-89.5,-36.1,-35.2,-35.2,0,100,457,1,533,446,-15.6
2/21/2023 10:48,1020,-89.5,-35.6,-34.7,-34.7,0,100,480,1,559,469,-15.6
2/21/2023 10:49,1080,-89.6,-35,-34.2,-34.2,0,100,479,1,564,468,-15.6
2/21/2023 10:50,1140,-89.6,-34.6,-33.7,-33.7,0,100,456,1,548,445,-15.6
2/21/2023 10:51,1200,-89.5,-34,-33.2,-33.2,0,100,415,1,515,403,-15.6
2/21/2023 10:52,1260,-89.4,-33.6,-32.7,-32.7,0,100,363,0,472,352,-15.6
2/21/2023 10:53,1320,-89.4,-33.1,-32.2,-32.2,0,100,311,0,429,300,-15.7
2/21/2023 10:54,1380,-89,-32.6,-31.7,-31.7,0,100,261,0,387,250,-15.7
2/21/2023 10:55,1440,-88.7,-32.1,-31.2,-31.2,0,100,230,0,357,199,-15.7
2/21/2023 10:56,1500,-87.6,-32.2,-31.1,-30.7,0,100,207,0,324,121,-15.7
2/21/2023 10:57,1560,-85.6,-32.5,-31.1,-30.2,0,100,196,0,306,86,-15.7
2/21/2023 10:58,1620,-83.7,-32.7,-31,-29.7,0,100,188,0,295,70,-15.7
2/21/2023 10:59,1680,-83.3,-32.6,-30.7,-29.2,0,100,181,0,284,62,-15.7
2/21/2023 11:00,1740,-83.4,-32.2,-30.1,-28.7,0,100,168,0,263,59,-15.7
2/21/2023 11:01,1800,-84.1,-31.5,-29.3,-28.2,0,100,137,0,218,56,-15.7
2/21/2023 11:02,1860,-85.3,-30.5,-28.3,-27.7,0,100,98,0,157,56,-15.7
2/21/2023 11:03,1920,-86.8,-29.2,-27.2,-27.2,0,100,99,0,159,80,-15.7
2/21/2023 11:04,1980,-86.7,-28,-26.2,-26.7,0,100,99,0,158,84,-15.7
2/21/2023 11:05,2040,-86.4,-27,-26,-26.2,0,100,99,0,158,86,-15.7
2/21/2023 11:06,2100,-86.3,-26.6,-25.7,-25.7,0,100,99,0,158,87,-15.7
2/21/2023 11:07,2160,-86.3,-26.2,-25.2,-25.2,0,100,100,0,160,89,-15.7
2/21/2023 11:08,2220,-86.7,-25.7,-24.7,-24.7,0,100,99,0,158,89,-15.7
2/21/2023 11:09,2280,-86.8,-25.2,-24.2,-24.2,0,100,100,0,158,90,-15.7
2/21/2023 11:10,2340,-86.8,-24.7,-23.7,-23.7,0,100,101,0,160,91,-15.7
2/21/2023 11:11,2400,-86.8,-24.2,-23.2,-23.2,0,100,100,0,159,89,-15.7
2/21/2023 11:12,2460,-86.8,-23.7,-22.7,-22.7,0,100,100,0,159,89,-15.7
2/21/2023 11:13,2520,-86.8,-23.2,-22.2,-22.2,0,100,100,0,160,89,-15.7
2/21/2023 11:14,2580,-86.8,-22.7,-21.7,-21.7,0,100,101,0,160,89,-15.7
2/21/2023 11:15,2640,-86.8,-22.2,-21.2,-21.2,0,100,101,0,160,89,-15.7
2/21/2023 11:16,2700,-86.8,-21.7,-20.7,-20.7,0,100,100,0,160,89,-15.7
2/21/2023 11:17,2760,-86.7,-21.2,-20.3,-20.2,0,100,101,0,160,89,-15.7
2/21/2023 11:18,2820,-86.7,-20.7,-19.7,-19.7,0,100,99,0,158,87,-15.7
2/21/2023 11:19,2880,-86.7,-20.2,-19.2,-19.2,0,100,101,0,161,89,-15.7
2/21/2023 11:20,2940,-86.8,-19.7,-18.7,-18.7,0,100,100,0,159,88,-15.7
2/21/2023 11:21,3000,-86.8,-19.2,-18.2,-18.2,0,100,100,0,159,88,-15.7
2/21/2023 11:22,3060,-87,-18.7,-17.7,-17.7,0,100,115,0,184,103,-15.7
2/21/2023 11:23,3120,-86.8,-18.2,-17.2,-17.2,0,100,100,0,160,89,-15.7
2/21/2023 11:24,3180,-86.8,-17.7,-16.7,-16.7,0,100,99,0,158,88,-15.7
2/21/2023 11:25,3240,-86.8,-17.2,-16.2,-16.2,0,100,100,0,159,89,-15.7
2/21/2023 11:26,3300,-86.6,-16.8,-15.8,-15.7,0,100,101,0,160,90,-15.7
2/21/2023 11:27,3360,-86.6,-16.3,-15.2,-15.2,0,100,101,0,159,90,-15.7
2/21/2023 11:28,3420,-86.7,-15.8,-14.8,-15,0,100,100,0,158,89,-15.7
2/21/2023 11:29,3480,-86.5,-15.4,-14.7,-15,0,100,101,0,158,90,-15.7
2/21/2023 11:30,3540,-85.9,-15.3,-14.7,-15,0,100,100,0,159,90,-15.7
2/21/2023 11:31,3600,-85.7,-15.3,-14.7,-15,0,100,100,0,158,90,-15.7
2/21/2023 11:32,3660,-85.5,-15.4,-14.8,-15,0,100,99,0,156,88,-15.7
2/21/2023 11:33,3720,-85.3,-15.4,-14.9,-15,0,100,100,0,158,90,-15.7
2/21/2023 11:34,3780,-85.2,-15.5,-15,-15,0,100,99,0,157,89,-15.7
2/21/2023 11:35,3840,-85.3,-15.5,-14.9,-15,0,100,100,0,157,90,-15.7
2/21/2023 11:36,3900,-85.5,-15.5,-14.9,-15,0,100,100,0,158,90,-15.7
2/21/2023 11:37,3960,-85.4,-15.5,-15,-15,0,100,101,0,159,90,-15.7
2/21/2023 11:38,4020,-85.4,-15.5,-15,-15,0,100,101,0,158,90,-15.7
2/21/2023 11:39,4080,-85.4,-15.5,-15,-15,0,100,101,0,158,90,-15.7
2/21/2023 11:40,4140,-85.4,-15.5,-15,-15,0,100,101,0,158,90,-15.7
2/21/2023 11:41,4200,-85.3,-15.5,-15.5,-40,0,100,101,0,157,90,-15.7
2/21/2023 11:42,4260,-76.1,-18.9,-23.9,-40,0,100,100,0,156,90,-15.7
2/21/2023 11:43,4320,-71.6,-23.6,-27.6,-40,0,100,99,0,156,89,-15.7
2/21/2023 11:44,4380,-69.5,-27.8,-32.1,-40,0,100,99,0,156,89,-15.7
2/21/2023 11:45,4440,-69,-32,-36,-40,0,100,101,0,156,90,-15.7
2/21/2023 11:46,4500,-68.6,-36,-39.9,-40,0,100,100,0,154,90,-15.7
2/21/2023 11:47,4560,-69,-39.4,-41.8,-40,0,100,100,0,149,90,-15.7
2/21/2023 11:48,4620,-70.8,-41.4,-42.3,-40,0,100,100,0,147,90,-15.7
2/21/2023 11:49,4680,-72.4,-42.2,-42.2,-40,0,100,101,0,148,91,-15.7
2/21/2023 11:50,4740,-73.7,-42.3,-41.7,-40,0,100,101,0,149,91,-15.7
2/21/2023 11:51,4800,-74.7,-42,-41.1,-40,0,100,101,0,152,91,-15.7
2/21/2023 11:52,4860,-75.5,-41.5,-40.7,-40,0,100,100,0,152,90,-15.7
2/21/2023 11:53,4920,-76,-41.1,-40.2,-40,0,100,100,0,151,90,-15.7
2/21/2023 11:54,4980,-76.4,-40.7,-40,-40,0,100,100,0,146,90,-15.7
2/21/2023 11:55,5040,-76.6,-40.5,-39.8,-39.5,0,100,100,0,145,90,-15.7
2/21/2023 11:56,5100,-77.2,-40.1,-39,-38.5,0,100,101,0,144,90,-15.7
