# Date Created: 21-Feb-2023 (10:40:05),,,,
Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
5.2,-37.9,999,-38.6,-38.1
10.3,-37.9,999,-38.6,-38
15.3,-37.9,999,-38.6,-38
20.3,-37.9,999,-38.6,-38
25.3,-37.9,999,-38.6,-38
30.3,-37.9,999,-38.6,-38
35.3,-37.9,999,-38.6,-38
40.3,-37.9,999,-38.6,-38
45.3,-37.9,999,-38.6,-38
50.3,-37.9,999,-38.5,-37.9
55.4,-37.9,999,-38.5,-38
60.4,-37.8,999,-38.4,-38
65.4,-37.8,999,-38.4,-38
70.4,-37.8,999,-38.5,-37.9
75.4,-37.8,999,-38.4,-37.9
80.4,-37.8,999,-38.4,-37.9
85.4,-37.8,999,-38.4,-37.9
90.5,-37.8,999,-38.4,-37.9
95.5,-37.7,999,-38.4,-37.9
100.5,-37.7,999,-38.4,-37.9
105.5,-37.7,999,-38.3,-37.9
110.5,-37.7,999,-38.3,-37.9
115.5,-37.6,999,-38.3,-37.8
120.6,-37.6,999,-38.3,-37.8
125.6,-37.7,999,-38.2,-37.8
130.6,-37.6,999,-38.2,-37.8
135.6,-37.6,999,-38.2,-37.8
140.6,-37.6,999,-38.2,-37.8
145.6,-37.5,999,-38.2,-37.8
150.7,-37.5,999,-38,-37.7
155.7,-37.5,999,-38.1,-37.7
160.7,-37.5,999,-38,-37.6
165.7,-37.4,999,-38,-37.6
170.7,-37.3,999,-37.9,-37.6
175.7,-37.3,999,-37.9,-37.5
180.7,-37.1,999,-37.7,-37.4
185.7,-37.1,999,-37.6,-37.3
190.7,-36.9,999,-37.5,-37.2
195.7,-36.7,999,-37.2,-37
200.8,-36.4,999,-37,-36.8
205.8,-36.1,999,-36.5,-36.5
210.8,-35.6,999,-36.2,-36.1
215.8,-35.2,999,-35.8,-35.8
220.8,-34.8,999,-35.4,-35.4
225.8,-34.5,999,-35.1,-35.1
230.9,-34.1,999,-34.6,-34.4
235.9,-33.7,999,-34,-34.1
240.9,-33.4,999,-33.7,-33.8
245.9,-33,999,-33.3,-33.4
250.9,-32.7,999,-33,-33.1
255.9,-32.4,999,-32.7,-32.8
260.9,-32,999,-32.5,-32.5
266,-31.7,999,-32.1,-32.1
271,-31.2,999,-31.9,-31.8
276,-30.9,999,-31.6,-31.5
281,-30.5,999,-31.3,-31.3
286,-30.3,999,-31,-31
291,-30,999,-30.8,-30.8
296,-29.8,999,-30.6,-30.4
301.1,-29.6,999,-30.4,-29.9
306.1,-29.3,999,-30,-29.8
