# Date Created: 21-Feb-2023 (10:40:05),,,
Elapsed [s],Channel,Frequency [GHz],Power [W]
5.2,1,1.80E+01,3.73E-01
10.2,1,1.80E+01,4.02E-01
15.2,1,1.80E+01,4.36E-01
20.2,1,1.80E+01,4.75E-01
25.3,1,1.80E+01,5.20E-01
30.3,1,1.80E+01,5.69E-01
35.3,1,1.80E+01,6.23E-01
40.3,1,1.80E+01,6.88E-01
45.3,1,1.80E+01,7.60E-01
50.3,1,1.80E+01,8.41E-01
55.4,1,1.80E+01,9.34E-01
60.3,1,1.80E+01,1.04E+00
65.4,1,1.80E+01,1.15E+00
70.4,1,1.80E+01,1.29E+00
75.4,1,1.80E+01,1.44E+00
80.4,1,1.80E+01,1.61E+00
85.4,1,1.80E+01,1.82E+00
90.4,1,1.80E+01,2.05E+00
95.5,1,1.80E+01,2.31E+00
100.5,1,1.80E+01,2.63E+00
105.5,1,1.80E+01,2.98E+00
110.5,1,1.80E+01,3.19E+00
115.5,1,1.80E+01,3.67E+00
120.5,1,1.80E+01,4.21E+00
125.5,1,1.80E+01,4.86E+00
130.6,1,1.80E+01,5.60E+00
135.6,1,1.80E+01,6.50E+00
140.6,1,1.80E+01,7.58E+00
145.6,1,1.80E+01,8.87E+00
150.6,1,1.80E+01,1.04E+01
155.6,1,1.80E+01,1.23E+01
160.6,1,1.80E+01,1.46E+01
165.7,1,1.80E+01,1.75E+01
170.7,1,1.80E+01,2.11E+01
175.7,1,1.80E+01,2.56E+01
180.7,1,1.80E+01,3.12E+01
185.7,1,1.80E+01,3.87E+01
190.7,1,1.80E+01,4.77E+01
195.7,1,1.80E+01,6.01E+01
200.8,1,1.80E+01,7.56E+01
205.7,1,1.80E+01,9.51E+01
210.8,1,1.80E+01,9.37E+01
215.8,1,1.80E+01,9.42E+01
220.8,1,1.80E+01,9.38E+01
225.8,1,1.80E+01,9.37E+01
230.8,1,1.80E+01,9.37E+01
235.9,1,1.80E+01,9.37E+01
240.9,1,1.80E+01,9.34E+01
245.9,1,1.80E+01,9.38E+01
250.9,1,1.80E+01,9.45E+01
255.9,1,1.80E+01,9.37E+01
260.9,1,1.80E+01,9.45E+01
265.9,1,1.80E+01,9.38E+01
270.9,1,1.80E+01,9.36E+01
276,1,1.80E+01,9.41E+01
281,1,1.80E+01,9.46E+01
286,1,1.80E+01,9.50E+01
291,1,1.80E+01,9.45E+01
296,1,1.80E+01,9.45E+01
301,1,1.80E+01,9.47E+01
306.1,1,1.80E+01,9.46E+01
311.1,1,1.80E+01,9.48E+01
316.1,1,1.80E+01,9.51E+01
321.1,1,1.80E+01,9.48E+01
326.1,1,1.80E+01,9.51E+01
331.1,1,1.80E+01,9.53E+01
336.1,1,1.80E+01,9.47E+01
341.1,1,1.80E+01,9.52E+01
346.2,1,1.80E+01,9.52E+01
351.2,1,1.80E+01,9.51E+01
356.2,1,1.80E+01,9.54E+01
361.2,1,1.80E+01,9.52E+01
366.3,1,1.80E+01,9.51E+01
371.3,1,1.80E+01,9.57E+01
376.3,1,1.80E+01,9.53E+01
381.3,1,1.80E+01,9.58E+01
386.3,1,1.80E+01,9.58E+01
391.3,1,1.80E+01,9.60E+01
396.3,1,1.80E+01,9.53E+01
401.3,1,1.80E+01,9.60E+01
406.3,1,1.80E+01,9.54E+01
411.4,1,1.80E+01,9.57E+01
416.4,1,1.80E+01,9.53E+01
421.4,1,1.80E+01,9.51E+01
426.4,1,1.80E+01,9.59E+01
431.4,1,1.80E+01,9.51E+01
436.4,1,1.80E+01,9.50E+01
441.5,1,1.80E+01,9.58E+01
446.4,1,1.80E+01,9.59E+01
451.5,1,1.80E+01,9.43E+01
456.5,1,1.80E+01,9.51E+01
461.5,1,1.80E+01,9.60E+01
466.5,1,1.80E+01,9.62E+01
471.5,1,1.80E+01,9.63E+01
476.5,1,1.80E+01,9.68E+01
481.6,1,1.80E+01,9.48E+01
486.6,1,1.80E+01,9.66E+01
491.6,1,1.80E+01,9.82E+01
496.6,1,1.80E+01,9.82E+01
501.6,1,1.80E+01,9.35E+01
506.7,1,1.80E+01,9.63E+01
511.6,1,1.80E+01,9.64E+01
516.6,1,1.80E+01,9.72E+01
521.7,1,1.80E+01,9.71E+01
526.7,1,1.80E+01,9.46E+01
531.7,1,1.80E+01,9.61E+01
536.7,1,1.80E+01,9.64E+01
541.7,1,1.80E+01,9.63E+01
546.7,1,1.80E+01,9.62E+01
551.7,1,1.80E+01,9.68E+01
556.8,1,1.80E+01,9.68E+01
561.8,1,1.80E+01,9.54E+01
566.8,1,1.80E+01,9.55E+01
571.8,1,1.80E+01,9.57E+01
576.8,1,1.80E+01,9.64E+01
581.8,1,1.80E+01,9.58E+01
586.8,1,1.80E+01,9.57E+01
591.8,1,1.80E+01,9.70E+01
596.8,1,1.80E+01,9.70E+01
601.9,1,1.80E+01,9.70E+01
606.9,1,1.80E+01,9.68E+01
611.9,1,1.80E+01,9.55E+01
616.9,1,1.80E+01,9.70E+01
621.9,1,1.80E+01,9.69E+01
626.9,1,1.80E+01,9.62E+01
631.9,1,1.80E+01,9.70E+01
637,1,1.80E+01,9.58E+01
641.9,1,1.80E+01,9.67E+01
646.9,1,1.80E+01,9.64E+01
652,1,1.80E+01,9.73E+01
657,1,1.80E+01,9.69E+01
662,1,1.80E+01,9.68E+01
667,1,1.80E+01,9.63E+01
672,1,1.80E+01,9.62E+01
677,1,1.80E+01,9.71E+01
682,1,1.80E+01,9.64E+01
687.1,1,1.80E+01,9.67E+01
692,1,1.80E+01,9.71E+01
697.1,1,1.80E+01,9.70E+01
702.1,1,1.80E+01,9.71E+01
707.1,1,1.80E+01,9.73E+01
712.1,1,1.80E+01,9.69E+01
717.1,1,1.80E+01,9.59E+01
722.1,1,1.80E+01,9.69E+01
727.2,1,1.80E+01,9.69E+01
732.2,1,1.80E+01,9.72E+01
737.2,1,1.80E+01,9.71E+01
742.2,1,1.80E+01,9.62E+01
747.2,1,1.80E+01,9.78E+01
752.2,1,1.80E+01,9.75E+01
757.3,1,1.80E+01,9.73E+01
762.2,1,1.80E+01,9.74E+01
767.2,1,1.80E+01,9.70E+01
772.3,1,1.80E+01,9.74E+01
777.3,1,1.80E+01,9.72E+01
782.3,1,1.80E+01,9.71E+01
787.3,1,1.80E+01,9.77E+01
792.3,1,1.80E+01,9.72E+01
797.4,1,1.80E+01,9.71E+01
802.4,1,1.80E+01,9.71E+01
807.4,1,1.80E+01,9.72E+01
812.4,1,1.80E+01,9.74E+01
817.4,1,1.80E+01,9.69E+01
822.4,1,1.80E+01,9.72E+01
827.4,1,1.80E+01,9.68E+01
832.4,1,1.80E+01,9.75E+01
837.4,1,1.80E+01,9.75E+01
842.5,1,1.80E+01,9.74E+01
847.5,1,1.80E+01,9.79E+01
852.5,1,1.80E+01,9.77E+01
857.5,1,1.80E+01,9.75E+01
862.5,1,1.80E+01,9.83E+01
867.5,1,1.80E+01,9.79E+01
872.6,1,1.80E+01,9.79E+01
877.6,1,1.80E+01,9.69E+01
882.6,1,1.80E+01,9.77E+01
887.5,1,1.80E+01,9.74E+01
892.6,1,1.80E+01,9.77E+01
897.6,1,1.80E+01,9.72E+01
902.6,1,1.80E+01,9.72E+01
907.6,1,1.80E+01,9.82E+01
912.6,1,1.80E+01,9.78E+01
0.1,1,1.80E+01,1.49E-01
5.2,1,1.80E+01,3.73E-01
10.2,1,1.80E+01,4.02E-01
15.2,1,1.80E+01,4.36E-01
20.2,1,1.80E+01,4.75E-01
25.3,1,1.80E+01,5.20E-01
30.3,1,1.80E+01,5.68E-01
35.3,1,1.80E+01,6.24E-01
40.3,1,1.80E+01,6.89E-01
45.3,1,1.80E+01,7.60E-01
50.4,1,1.80E+01,8.40E-01
55.3,1,1.80E+01,9.34E-01
60.3,1,1.80E+01,1.04E+00
65.3,1,1.80E+01,1.16E+00
70.4,1,1.80E+01,1.29E+00
75.4,1,1.80E+01,1.44E+00
80.4,1,1.80E+01,1.62E+00
85.4,1,1.80E+01,1.82E+00
90.4,1,1.80E+01,2.05E+00
95.5,1,1.80E+01,2.31E+00
100.5,1,1.80E+01,2.63E+00
105.5,1,1.80E+01,2.98E+00
110.5,1,1.80E+01,3.17E+00
115.5,1,1.80E+01,3.62E+00
120.5,1,1.80E+01,4.13E+00
125.5,1,1.80E+01,4.75E+00
130.5,1,1.80E+01,5.45E+00
135.6,1,1.80E+01,6.30E+00
140.6,1,1.80E+01,7.34E+00
145.6,1,1.80E+01,8.53E+00
150.6,1,1.80E+01,9.92E+00
155.6,1,1.80E+01,1.18E+01
160.6,1,1.80E+01,1.39E+01
165.6,1,1.80E+01,1.66E+01
170.7,1,1.80E+01,2.00E+01
175.7,1,1.80E+01,2.42E+01
180.7,1,1.80E+01,2.95E+01
185.7,1,1.80E+01,3.65E+01
190.7,1,1.80E+01,4.53E+01
195.7,1,1.80E+01,5.67E+01
200.7,1,1.80E+01,7.18E+01
205.7,1,1.80E+01,8.93E+01
210.8,1,1.80E+01,8.85E+01
215.8,1,1.80E+01,8.83E+01
220.8,1,1.80E+01,8.86E+01
225.8,1,1.80E+01,8.84E+01
230.8,1,1.80E+01,8.84E+01
235.8,1,1.80E+01,8.84E+01
240.9,1,1.80E+01,8.82E+01
245.9,1,1.80E+01,8.82E+01
250.9,1,1.80E+01,8.85E+01
255.9,1,1.80E+01,8.84E+01
260.9,1,1.80E+01,8.83E+01
265.9,1,1.80E+01,8.81E+01
270.9,1,1.80E+01,8.85E+01
275.9,1,1.80E+01,8.85E+01
280.9,1,1.80E+01,8.83E+01
285.9,1,1.80E+01,8.88E+01
291,1,1.80E+01,8.86E+01
296,1,1.80E+01,8.90E+01
301,1,1.80E+01,8.89E+01
306,1,1.80E+01,8.90E+01
311,1,1.80E+01,8.84E+01
316.1,1,1.80E+01,8.82E+01
321,1,1.80E+01,8.86E+01
326,1,1.80E+01,8.84E+01
331.1,1,1.80E+01,8.84E+01
336.1,1,1.80E+01,8.89E+01
341.1,1,1.80E+01,8.86E+01
346.1,1,1.80E+01,8.86E+01
351.1,1,1.80E+01,8.87E+01
356.2,1,1.80E+01,8.90E+01
361.2,1,1.80E+01,8.91E+01
366.2,1,1.80E+01,8.89E+01
371.2,1,1.80E+01,8.89E+01
376.3,1,1.80E+01,8.93E+01
