Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
54566.95865,-37.6,999,-38.6,-38.3
54576.98618,-37.6,999,-38.6,-38.2
54587.01828,-37.6,999,-38.6,-38.3
54597.05411,-37.6,999,-38.6,-38.3
54607.0866,-37.6,999,-38.6,-38.3
54617.11344,-37.6,999,-38.6,-38.3
54627.14249,-37.6,999,-38.6,-38.3
54637.18673,-37.6,999,-38.6,-38.3
54647.21457,-37.6,999,-38.6,-38.3
54657.24109,-37.6,999,-38.6,-38.3
54667.2705,-37.6,999,-38.6,-38.3
54677.29866,-37.6,999,-38.6,-38.3
54687.32616,-37.6,999,-38.6,-38.3
54697.33724,-37.6,999,-38.6,-38.3
54707.3655,-37.6,999,-38.6,-38.3
54717.38174,-37.6,999,-38.6,-38.3
54727.38959,-37.6,999,-38.6,-38.2
54737.41689,-37.6,999,-38.6,-38.3
54747.42666,-37.6,999,-38.6,-38.3
54757.46947,-37.6,999,-38.6,-38.3
54767.51314,-37.6,999,-38.6,-38.3
54777.53995,-37.6,999,-38.6,-38.3
54787.56761,-37.6,999,-38.6,-38.2
54797.59449,-37.6,999,-38.6,-38.3
54807.6215,-37.6,999,-38.6,-38.3
54817.64888,-37.6,999,-38.6,-38.3
54827.67658,-37.6,999,-38.6,-38.3
54837.69497,-37.6,999,-38.6,-38.3
54847.7019,-37.6,999,-38.6,-38.3
54857.7154,-37.6,999,-38.6,-38.3
54867.74446,-37.6,999,-38.6,-38.3
54877.76578,-37.6,999,-38.6,-38.2
54887.79223,-37.6,999,-38.6,-38.3
54897.82316,-37.6,999,-38.6,-38.3
54907.85063,-37.6,999,-38.6,-38.2
54917.88025,-37.6,999,-38.6,-38.3
54927.90893,-37.6,999,-38.6,-38.3
54937.93678,-37.6,999,-38.6,-38.2
54947.95775,-37.5,999,-38.6,-38.3
54957.97739,-37.6,999,-38.6,-38.3
54968.00736,-37.6,999,-38.6,-38.3
54978.03514,-37.6,999,-38.6,-38.2
54988.06485,-37.6,999,-38.6,-38.3
54998.07945,-37.6,999,-38.6,-38.3
55008.12169,-37.6,999,-38.6,-38.2
55018.14976,-37.6,999,-38.6,-38.3
55028.1774,-37.6,999,-38.6,-38.3
55038.22053,-37.6,999,-38.6,-38.3
55048.25386,-37.6,999,-38.6,-38.3
55058.28246,-37.6,999,-38.6,-38.3
55068.29755,-37.6,999,-38.6,-38.3
55078.33702,-37.6,999,-38.6,-38.3
55088.35299,-37.6,999,-38.6,-38.3
55098.41343,-37.6,999,-38.6,-38.3
55108.45558,-37.6,999,-38.6,-38.3
55118.48621,-37.6,999,-38.6,-38.3
55128.51512,-37.6,999,-38.6,-38.3
55138.54357,-37.6,999,-38.6,-38.3
55148.57253,-37.6,999,-38.6,-38.3
55158.59827,-37.6,999,-38.6,-38.2
55168.63243,-37.6,999,-38.6,-38.2
55178.69091,-37.5,999,-38.6,-38.3
55188.71915,-37.6,999,-38.6,-38.3
55198.74708,-37.6,999,-38.6,-38.2
55208.77531,-37.6,999,-38.6,-38.3
55218.80341,-37.6,999,-38.6,-38.3
55228.81873,-37.6,999,-38.6,-38.3
55238.86238,-37.6,999,-38.6,-38.3
55248.88545,-37.6,999,-38.6,-38.3
55258.89663,-37.6,999,-38.6,-38.3
55268.90946,-37.6,999,-38.6,-38.3
55278.92907,-37.6,999,-38.6,-38.3
55288.95567,-37.6,999,-38.6,-38.3
55298.98771,-37.6,999,-38.6,-38.3
55309.01251,-37.6,999,-38.6,-38.3
55319.04493,-37.6,999,-38.6,-38.3
55329.07096,-37.6,999,-38.6,-38.3
55339.09647,-37.6,999,-38.6,-38.3
55349.11501,-37.6,999,-38.6,-38.3
55359.13025,-37.6,999,-38.6,-38.2
55369.15737,-37.6,999,-38.6,-38.3
