T1 [C],T2 [C],T3 [C],T4 [C],T5 [C]
-39.2,-38.2,-38.3,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.8
-39.1,-38.1,-38.2,-37.9,-38.7
-39.2,-38.3,-38.3,-38,-38.8
-39.2,-38.2,-38.4,-37.9,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.3,-37.9,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.3,-37.9,-38.8
-39.1,-38.2,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.9
-39,-38.1,-38.2,-37.8,-38.7
-39.3,-38.2,-38.4,-38,-38.8
-39.2,-38.1,-38.3,-37.9,-38.8
-39.2,-38.2,-38.3,-37.9,-38.8
-39.1,-38.2,-38.3,-38,-38.8
-39.2,-38.2,-38.3,-38,-38.8
-39.2,-38.1,-38.2,-37.8,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.8
-39.1,-38.1,-38.3,-37.9,-38.8
-39.3,-38.1,-38.3,-38,-38.8
-39.2,-38.1,-38.4,-37.9,-38.8
-39.2,-38.2,-38.3,-37.9,-38.8
-39.2,-38.1,-38.3,-37.9,-38.7
-39.1,-38.2,-38.3,-37.9,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.2,-38.3,-38,-38.8
-39.2,-38.2,-38.4,-37.9,-38.7
-39.2,-38.2,-38.3,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.1,-38.1,-38.3,-37.9,-38.8
-39.1,-38.2,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-37.9,-38.8
-39.2,-38.2,-38.3,-38,-38.8
-39.1,-38.2,-38.3,-37.9,-38.7
-39.1,-38.2,-38.3,-38,-38.7
-39.1,-38.1,-38.3,-37.9,-38.7
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.1,-38.3,-37.9,-38.8
-39.2,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.3,-37.9,-38.7
-39.1,-38.1,-38.2,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.2,-37.9,-38.7
-39.1,-38.2,-38.2,-37.9,-38.7
-39.1,-38.1,-38.3,-37.9,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.1,-38.3,-37.9,-38.8
-39.1,-38.1,-38.4,-38,-38.7
-39.1,-38.3,-38.4,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.7
-39.2,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.3,-38.2,-38.4,-38,-38.9
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.9
-39.1,-38.1,-38.3,-37.9,-38.6
-39.2,-38.1,-38.4,-37.9,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.2,-37.8,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.6
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.1,-38.3,-37.8,-38.7
-39.2,-38.2,-38.4,-37.9,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.5,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.1,-38,-38.3,-37.8,-38.7
-39.2,-38.2,-38.3,-37.9,-38.7
-39.1,-38.1,-38.3,-37.9,-38.8
-39.2,-38.1,-38.2,-37.9,-38.7
-39.2,-38.3,-38.4,-38,-38.8
-39.2,-38.1,-38.3,-37.9,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.1,-38.1,-38.3,-37.9,-38.8
-39.1,-38.2,-38.3,-37.9,-38.7
-39.1,-38.1,-38.4,-37.9,-38.8
-39.2,-38.1,-38.2,-37.9,-38.8
-39.2,-38.2,-38.3,-37.9,-38.8
-39,-38.1,-38.2,-37.8,-38.6
-39.2,-38.2,-38.3,-38,-38.9
-39.1,-38.1,-38.3,-37.9,-38.8
-39.2,-38.2,-38.3,-38,-38.8
-39.2,-38.2,-38.3,-37.9,-38.8
-39.1,-38.2,-38.4,-38,-38.8
-39,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.3,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.2,-38.3,-38,-38.8
-39.1,-38.1,-38.3,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.3,-38,-38.8
-39,-38,-38.2,-37.8,-38.7
-39.1,-38.2,-38.4,-37.9,-38.8
-39.1,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.3,-38,-38.8
-39.3,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.2,-37.9,-38.7
-39.2,-38.2,-38.3,-38,-38.8
-39.2,-38.1,-38.3,-38,-38.8
-39.2,-38.1,-38.3,-37.9,-38.8
-39.2,-38.2,-38.3,-37.9,-38.8
-39.1,-38.1,-38.3,-37.9,-38.9
-39.2,-38.2,-38.3,-37.9,-38.7
-39.2,-38.2,-38.3,-37.9,-38.8
-39.2,-38.1,-38.4,-38,-38.8
-39.1,-38.2,-38.4,-38,-38.8
-39,-38.1,-38.2,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.1,-38.2,-38.3,-37.9,-38.7
-39.1,-38.2,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.2,-38.3,-37.8,-38.7
-39.2,-38.2,-38.3,-38,-38.8
-39.2,-38.2,-38.3,-37.8,-38.8
-39.3,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.1,-38.1,-38.3,-37.9,-38.8
-39.2,-38.3,-38.3,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.8
-39.2,-38.2,-38.3,-38,-38.8
-39.2,-38.1,-38.2,-37.9,-38.7
-39.1,-38.1,-38.3,-37.9,-38.7
-39.1,-38.1,-38.3,-38,-38.8
-39.2,-38.2,-38.4,-37.9,-38.7
-39.1,-38.2,-38.4,-38,-38.8
-39.2,-38.1,-38.3,-37.9,-38.7
-39.1,-38.2,-38.3,-37.9,-38.7
-39.2,-38.2,-38.3,-38,-38.8
-39.2,-38.1,-38.3,-37.9,-38.8
-39.2,-38.2,-38.3,-38,-38.7
-39.2,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.9
-39,-38.1,-38.2,-37.8,-38.7
-39.3,-38.2,-38.4,-38,-38.8
-39.2,-38.2,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-37.9,-38.8
-39.1,-38.1,-38.2,-37.9,-38.7
-39.3,-38.2,-38.4,-38,-38.8
-39.1,-38.2,-38.3,-37.9,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.1,-38.2,-38.3,-37.9,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.2,-38.4,-38,-38.7
-39.2,-38.2,-38.3,-38,-38.8
-39.1,-38.2,-38.4,-38,-38.9
-39.1,-38.1,-38.3,-37.9,-38.8
-39.1,-38.1,-38.3,-38,-38.7
-39.1,-38.1,-38.3,-37.9,-38.7
-39.1,-38.2,-38.3,-38,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.2,-38.4,-38,-38.9
-39.2,-38.2,-38.4,-37.9,-38.7
-39.2,-38.2,-38.4,-37.9,-38.8
-39.2,-38.2,-38.3,-37.9,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.4,-38,-38.8
-39.2,-38.2,-38.3,-37.9,-38.8
-39.1,-38.2,-38.4,-38,-38.8
-39.2,-38.2,-38.4,-38,-38.8
-39.1,-38.1,-38.3,-37.9,-38.7
-39.1,-38.1,-38.3,-37.9,-38.8
-39.3,-38.2,-38.4,-38,-38.8
-39.3,-38.2,-38.4,-38,-38.8
-39.2,-38.1,-38.2,-37.9,-38.7
-39.3,-38.2,-38.5,-38,-38.8
-39.2,-38.2,-38.3,-38,-38.8
-39.1,-38.1,-38.2,-37.9,-38.6
-39.1,-38.1,-38.3,-37.9,-38.7
-39.2,-38.2,-38.3,-37.9,-38.8
-39.1,-38.1,-38.3,-37.9,-38.8
