;Date Created: 27-Apr-2023 (11:36:30)
Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
60.0,22.3,23.4,-999.0,22.5
120.0,22.2,23.3,-999.0,22.6
180.1,22.1,23.1,-999.0,22.4
240.1,21.8,23.0,-999.0,22.3
300.1,21.3,22.8,-999.0,21.8
360.1,20.7,22.6,-999.0,21.4
420.1,20.3,22.4,-999.0,20.8
480.1,19.9,22.1,-999.0,20.5
540.2,19.7,21.9,-999.0,20.0
600.2,19.6,21.7,-999.0,20.0
660.2,19.5,21.4,-999.0,19.8
720.2,19.3,21.3,-999.0,19.8
780.2,19.2,21.2,-999.0,19.7
840.2,19.4,21.1,-999.0,19.6
900.2,19.4,20.9,-999.0,19.6
960.3,19.4,20.9,-999.0,19.7
1020.3,19.1,20.7,-999.0,19.7
1080.3,19.3,20.7,-999.0,19.6
1140.3,19.0,20.7,-999.0,19.6
1200.3,19.1,20.5,-999.0,19.6
1260.3,19.2,20.5,-999.0,19.5
1320.3,19.0,20.5,-999.0,19.4
1380.3,19.0,20.5,-999.0,19.5
1440.4,18.9,20.4,-999.0,19.4
1500.4,18.9,20.4,-999.0,19.3
1560.4,18.9,20.3,-999.0,19.3
1620.4,19.0,20.2,-999.0,19.3
1680.4,18.9,20.3,-999.0,19.3
1740.5,18.9,20.2,-999.0,19.5
1800.5,18.9,20.2,-999.0,19.3
1860.5,18.9,20.2,-999.0,19.3
1920.5,18.9,20.2,-999.0,19.5
1980.5,18.9,20.5,-999.0,19.4
2040.6,19.0,20.7,-999.0,19.3
2100.6,19.0,20.5,-999.0,19.5
2160.6,18.8,19.2,-999.0,19.1
2220.6,18.9,20.6,-999.0,19.3
2280.6,19.0,20.4,-999.0,19.3
2340.6,18.9,20.4,-999.0,19.3
2400.7,18.8,19.9,-999.0,19.2
2460.7,18.9,20.5,-999.0,19.3
2520.7,19.0,20.4,-999.0,19.3
2580.7,18.9,20.3,-999.0,19.3
2640.8,18.8,20.3,-999.0,19.3
2700.8,18.6,20.2,-999.0,19.0
2760.8,18.3,20.1,-999.0,18.7
2820.8,17.8,19.9,-999.0,18.2
2880.9,17.2,19.8,-999.0,17.8
2940.9,16.6,19.5,-999.0,17.4
3000.9,16.0,19.2,-999.0,16.6
3060.9,15.4,18.8,-999.0,16.0
3120.9,14.5,18.4,-999.0,15.1
3180.9,13.8,18.0,-999.0,14.7
3240.9,13.1,17.5,-999.0,13.9
3301.0,12.3,17.1,-999.0,13.1
3361.0,11.6,16.4,-999.0,12.5
3421.0,10.6,15.8,-999.0,11.6
3481.0,9.9,15.3,-999.0,10.7
3541.0,9.1,14.6,-999.0,9.9
3601.0,8.3,14.0,-999.0,9.1
3661.1,7.5,13.4,-999.0,8.3
3721.1,6.5,12.5,-999.0,7.3
3781.1,5.7,11.9,-999.0,6.6
3841.1,4.8,11.2,-999.0,5.7
3901.1,4.0,10.4,-999.0,4.9
3961.1,3.1,9.8,-999.0,4.1
4021.2,2.1,9.0,-999.0,3.1
4081.2,1.3,8.1,-999.0,2.2
4141.2,0.4,7.3,-999.0,1.4
4201.3,-0.5,6.5,-999.0,0.4
4261.3,-1.3,5.8,-999.0,-0.3
4321.3,-2.3,5.1,-999.0,-1.5
4381.3,-3.0,4.2,-999.0,-2.0
4441.4,-3.5,3.5,-999.0,-2.6
4501.4,-3.9,2.8,-999.0,-3.1
4561.4,-4.3,2.3,-999.0,-3.4
4621.4,-4.7,1.8,-999.0,-3.9
4681.4,-4.9,1.3,-999.0,-4.1
4741.5,-5.1,1.0,-999.0,-4.5
4801.5,-5.4,0.5,-999.0,-4.9
4861.5,-5.8,0.0,-999.0,-5.1
4921.5,-5.7,-0.3,-999.0,-5.2
4981.5,-6.1,-0.5,-999.0,-5.5
5041.6,-6.2,-0.8,-999.0,-5.6
5101.6,-6.3,-1.1,-999.0,-5.6
5161.6,-6.4,-1.2,-999.0,-5.9
5221.6,-6.5,-1.4,-999.0,-5.9
5281.7,-6.6,-1.7,-999.0,-6.0
5341.7,-6.7,-1.8,-999.0,-6.2
5401.7,-6.7,-2.0,-999.0,-6.2
5461.7,-6.8,-2.1,-999.0,-6.3
5521.7,-6.9,-2.3,-999.0,-6.4
5581.8,-6.9,-2.4,-999.0,-6.4
5641.8,-6.9,-2.5,-999.0,-6.5
5701.8,-7.1,-2.7,-999.0,-6.5
5761.8,-7.1,-2.7,-999.0,-6.5
5821.8,-7.1,-2.9,-999.0,-6.6
5881.9,-7.1,-2.9,-999.0,-6.7
5941.9,-7.2,-3.0,-999.0,-6.7
6001.9,-7.2,-3.1,-999.0,-6.8
6061.9,-7.3,-3.2,-999.0,-6.7
6122.0,-7.3,-3.2,-999.0,-6.9
6182.0,-7.3,-3.3,-999.0,-6.9
6242.0,-7.3,-3.3,-999.0,-6.9
6302.0,-7.4,-3.5,-999.0,-7.0
6362.1,-7.4,-3.5,-999.0,-6.9
6422.1,-7.4,-3.5,-999.0,-7.0
6482.1,-7.4,-3.6,-999.0,-7.0
6542.1,-7.4,-3.7,-999.0,-7.0
6602.1,-7.4,-3.7,-999.0,-7.1
6662.2,-7.4,-3.7,-999.0,-7.0
6722.2,-7.4,-4.0,-999.0,-7.1
6782.2,-7.5,-3.9,-999.0,-7.2
6842.2,-7.5,-4.1,-999.0,-7.1
6902.2,-7.5,-4.1,-999.0,-7.1
6962.2,-7.5,-4.1,-999.0,-7.1
7022.3,-7.6,-4.1,-999.0,-7.0
7082.3,-7.5,-4.2,-999.0,-7.2
7142.3,-7.6,-4.2,-999.0,-7.2
7202.3,-7.6,-4.2,-999.0,-7.2
7262.3,-7.5,-4.2,-999.0,-7.2
7322.4,-7.6,-4.2,-999.0,-7.2
7382.4,-7.6,-4.2,-999.0,-7.1
7442.4,-7.6,-4.3,-999.0,-7.3
7502.4,-7.6,-4.3,-999.0,-7.2
7562.4,-7.6,-4.4,-999.0,-7.2
7622.4,-7.7,-4.4,-999.0,-7.3
7682.5,-7.7,-4.4,-999.0,-7.3
7742.5,-7.7,-4.4,-999.0,-7.4
7802.5,-7.7,-4.4,-999.0,-7.3
7862.5,-7.7,-4.5,-999.0,-7.3
7922.5,-7.6,-4.5,-999.0,-7.2
7982.6,-7.7,-4.5,-999.0,-7.4
8042.6,-7.7,-4.5,-999.0,-7.2
8102.6,-7.7,-4.6,-999.0,-7.2
8162.6,-7.7,-4.5,-999.0,-7.4
8222.6,-7.7,-4.6,-999.0,-7.4
8282.6,-7.7,-4.5,-999.0,-7.4
8342.7,-7.8,-4.6,-999.0,-7.3
8402.7,-7.7,-4.6,-999.0,-7.4
8462.7,-7.8,-4.6,-999.0,-7.3
8522.7,-7.7,-4.6,-999.0,-7.4
8582.8,-7.7,-4.6,-999.0,-7.4
8642.8,-7.7,-4.7,-999.0,-7.4
8702.8,-7.7,-4.6,-999.0,-7.2
8762.8,-7.7,-4.7,-999.0,-7.4
8822.8,-7.7,-4.7,-999.0,-7.4
8882.9,-7.8,-4.7,-999.0,-7.3
8942.9,-7.7,-4.7,-999.0,-7.4
9002.9,-7.7,-4.7,-999.0,-7.4
9062.9,-7.7,-4.7,-999.0,-7.4
9122.9,-7.8,-4.7,-999.0,-7.5
9182.9,-7.8,-4.8,-999.0,-7.4
9243.0,-7.7,-4.8,-999.0,-7.4
