Timestamp, SPLYO.CONDENSER_TEMPERATURE.F_CV, SPLYO.SHELF_OUTLET.F_CV, SPLYO.SHELF_INLET.F_CV, SPLYO.SHELF_SP.F_CV, SPLYO.TC_AVG.F_CV, SPLYO.VACUUM_SP.F_CV, SPLYO.CHAMBER_CM.F_CV, SPLYO.ROUGH_VACUUM.F_CV, SPLYO.CHAMBER_PIRANI.F_CV, SPLYO.CONDENSER_VACUUM.F_CV, SPLYO.CHAMBER_PRESSURE.F_CV
5/7/2023 2:31,-88.8,18.9,19.9,19.6,999.9,0,2100,505,1047,2100,-6
5/7/2023 2:32,-88.1,18.7,19.5,19.1,999.9,0,2100,506,1047,2100,-6
5/7/2023 2:33,-87.7,18.3,19,18.6,999.9,0,2100,506,1047,2100,-6
5/7/2023 2:34,-87.5,17.8,18.5,18.1,999.9,0,2100,505,1047,2100,-6
5/7/2023 2:35,-87.3,17.3,17.9,17.6,999.9,0,2100,505,1047,2100,-6
5/7/2023 2:36,-86.9,16.7,17.3,17.1,999.9,0,2100,504,1047,2100,-6
5/7/2023 2:37,-87,16.2,16.8,16.6,999.9,0,2100,504,1047,2100,-6
5/7/2023 2:38,-87.1,15.7,16.3,16.1,999.9,0,2100,503,1047,2100,-6.1
5/7/2023 2:39,-86.9,15.2,15.7,15.6,999.9,0,2100,503,1047,2100,-6.1
5/7/2023 2:40,-86.8,14.7,15.2,15.1,999.9,0,2100,502,1047,2100,-6.1
5/7/2023 2:41,-86.7,14.2,14.7,14.6,999.9,0,2100,501,1047,2100,-6.1
5/7/2023 2:42,-86.7,13.7,14.3,14.1,999.9,0,2100,501,1047,2100,-6.1
5/7/2023 2:43,-86.7,13.2,13.7,13.6,999.9,0,2100,499,1047,2100,-6.1
5/7/2023 2:44,-86.6,12.7,13.3,13.1,999.9,0,2100,499,1047,2100,-6.1
5/7/2023 2:45,-86.4,12.2,12.7,12.6,999.9,0,2100,499,1047,2100,-6.1
5/7/2023 2:46,-86.4,11.8,12.2,12.1,999.9,0,2100,498,1047,2100,-6.2
5/7/2023 2:47,-86.4,11.3,11.8,11.6,999.9,0,2100,497,1047,2100,-6.2
5/7/2023 2:48,-86.4,10.8,11.3,11.1,999.9,0,2100,497,1047,2100,-6.2
5/7/2023 2:49,-86.3,10.3,10.7,10.6,999.9,0,2100,496,1047,2100,-6.2
5/7/2023 2:50,-86,9.8,10.2,10.1,999.9,0,2100,495,1047,2100,-6.2
5/7/2023 2:51,-86,9.3,9.7,9.6,999.9,0,2100,494,1047,2100,-6.2
5/7/2023 2:52,-86,8.9,9.3,9.1,999.9,0,2100,494,1047,2100,-6.2
5/7/2023 2:53,-86,8.4,8.8,8.6,999.9,0,2100,493,1047,2100,-6.2
5/7/2023 2:54,-86,7.9,8.3,8.1,999.9,0,2100,493,1047,2100,-6.2
5/7/2023 2:55,-85.9,7.3,7.7,7.6,999.9,0,2100,492,1047,2100,-6.2
5/7/2023 2:56,-85.8,6.9,7.2,7.1,999.9,0,2100,491,1047,2100,-6.3
5/7/2023 2:57,-85.8,6.4,6.8,6.6,999.9,0,2100,490,1047,2100,-6.3
5/7/2023 2:58,-85.8,5.9,6.3,6.1,999.9,0,2100,490,1047,2100,-6.3
5/7/2023 2:59,-85.7,5.4,5.7,5.6,999.9,0,2100,489,1047,2100,-6.3
5/7/2023 3:00,-85.8,4.8,5.2,5.1,999.9,0,2100,488,1047,2100,-6.3
5/7/2023 3:01,-85.7,4.4,4.7,4.6,999.9,0,2100,488,1047,2100,-6.3
5/7/2023 3:02,-85.7,3.9,4.3,4.1,999.9,0,2100,487,1047,2100,-6.3
5/7/2023 3:03,-85.6,3.4,3.7,3.6,999.9,0,2100,486,1047,2100,-6.3
5/7/2023 3:04,-85.5,2.9,3.3,3.1,999.9,0,2100,486,1047,2100,-6.3
5/7/2023 3:05,-85.5,2.4,2.8,2.6,999.9,0,2100,485,1047,2100,-6.3
5/7/2023 3:06,-85.5,1.9,2.3,2.1,999.9,0,2100,484,1047,2100,-6.4
5/7/2023 3:07,-85.5,1.4,1.8,1.6,999.9,0,2100,483,1047,2100,-6.4
5/7/2023 3:08,-85.3,0.9,1.3,1.1,999.9,0,2100,483,1047,2100,-6.4
5/7/2023 3:09,-85.3,0.4,0.8,0.6,999.9,0,2100,482,1047,2100,-6.4
5/7/2023 3:10,-85.3,-0.1,0.3,0.1,999.9,0,2100,481,1047,2100,-6.4
5/7/2023 3:11,-85.1,-0.6,-0.2,-0.4,999.9,0,2100,480,1047,2100,-6.4
5/7/2023 3:12,-85.1,-1.1,-0.7,-0.9,999.9,0,2100,480,1047,2100,-6.4
5/7/2023 3:13,-85.1,-1.5,-1.2,-1.4,999.9,0,2100,479,1047,2100,-6.4
5/7/2023 3:14,-85.1,-2,-1.7,-1.9,999.9,0,2100,479,1047,2100,-6.4
5/7/2023 3:15,-85,-2.5,-2.2,-2.4,999.9,0,2100,477,1047,2100,-6.4
5/7/2023 3:16,-85,-3,-2.7,-2.9,999.9,0,2100,477,1047,2100,-6.5
5/7/2023 3:17,-84.9,-3.5,-3.2,-3.4,999.9,0,2100,476,1047,2100,-6.5
5/7/2023 3:18,-85,-4,-3.7,-3.9,999.9,0,2100,475,1047,2100,-6.5
5/7/2023 3:19,-84.8,-4.5,-4.2,-4.4,999.9,0,2100,475,1047,2100,-6.5
5/7/2023 3:20,-84.8,-5,-4.7,-4.9,999.9,0,2100,474,1047,2100,-6.5
5/7/2023 3:21,-84.9,-5.5,-5.2,-5.4,999.9,0,2100,473,1047,2100,-6.5
