Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
10,17.3,18.8,-999,18.3
20.1,17.4,18.7,-999,18.2
30.1,17.3,18.8,-999,18.1
40.1,17.4,18.8,-999,18.1
50.2,17.4,18.7,-999,18.2
60.2,17.4,18.7,-999,18.1
70.2,17.4,18.8,-999,18.2
80.2,17.3,18.7,-999,18.1
90.2,17.4,18.8,-999,18.3
100.3,17.4,18.8,-999,18.1
110.3,17.4,18.8,-999,18.2
120.3,17.3,18.8,-999,18.2
130.3,17.3,18.8,-999,18.2
140.3,17.4,18.8,-999,18.1
150.3,17.4,18.8,-999,18.1
160.4,17.4,18.8,-999,18.2
170.4,17.3,18.9,-999,18.3
180.4,17.4,18.8,-999,18.2
190.4,17.4,18.8,-999,18.1
200.4,17.4,18.8,-999,18.2
210.5,17.4,18.9,-999,18.2
220.5,17.4,18.8,-999,18.2
230.5,17.4,18.8,-999,18.2
240.5,17.4,18.8,-999,18.2
250.5,17.4,18.8,-999,18.2
260.5,17.4,18.8,-999,18.2
270.6,17.4,18.8,-999,18.2
280.6,17.4,18.8,-999,18.2
290.6,17.4,18.8,-999,18.3
300.6,17.4,18.8,-999,18.2
310.7,17.4,18.8,-999,18.2
320.7,17.4,18.8,-999,18.2
330.7,17.4,18.8,-999,18.2
340.7,17.4,18.8,-999,18.2
350.7,17.4,18.8,-999,18.2
360.8,17.4,18.8,-999,18.2
370.8,17.4,18.9,-999,18.2
380.8,17.4,18.9,-999,18.1
390.8,17.4,18.9,-999,18.3
400.8,17.3,18.9,-999,18.2
410.9,17.4,18.8,-999,18.2
420.9,17.4,18.8,-999,18.2
430.9,17.4,18.9,-999,18.2
441,17.4,18.9,-999,18.2
451,17.4,18.9,-999,18.2
461,17.4,18.8,-999,18.2
471,17.4,18.8,-999,18.3
481,17.4,18.9,-999,18.2
491,17.4,18.8,-999,18.2
501.1,17.4,18.9,-999,18.2
511.1,17.4,18.9,-999,18.2
521.1,17.4,18.8,-999,18.2
531.1,17.4,18.9,-999,18.2
