t,T
0.005, -70.0
0.10000, -60.0
0.20000, -42.396
0.30000, -36.379
0.40000, -33.115
0.50000, -32.618
0.60000, -32.529
0.70000, -32.623
0.80000, -32.744
0.90000, -32.908
1.0000, -32.534
1.1000, -32.327
1.2000, -32.267
1.3000, -32.531
1.4000, -32.534
1.5000, -32.879
1.6000, -32.801
1.7000, -32.801
1.8000, -32.779
1.9000, -32.747
2.0000, -32.708
2.1000, -32.667
2.2000, -32.627
2.3000, -32.148
2.4000, -29.641
2.5000, -28.296
2.6000, -26.509
2.7000, -24.694
2.8000, -22.646
2.9000, -19.047
3.0000, -14.773
3.1000, -10.403
3.2000, -5.5748
3.3000, -0.98129
3.4000, 3.3600
3.5000, 6.7376
3.6000, 12.353
3.7000, 17.116
3.8000, 21.040
3.9000, 24.522
4.0000, 26.869
4.1000, 28.243
4.2000, 29.364
4.3000, 30.626
4.4000, 31.333
4.5000, 32.139
4.6000, 32.694
4.7000, 33.591
4.8000, 33.819
4.9000, 34.070
