t,T
0.005, -70.0
0.10000, -58.546
0.20000, -45.575
0.30000, -39.444
0.40000, -34.918
0.50000, -34.246
0.60000, -34.127
0.70000, -34.122
0.80000, -33.947
0.90000, -34.485
1.0000, -34.613
1.1000, -34.229
1.2000, -33.815
1.3000, -34.402
1.4000, -34.232
1.5000, -34.460
1.6000, -34.346
1.7000, -34.167
1.8000, -34.257
1.9000, -34.317
2.0000, -34.010
2.1000, -33.793
2.2000, -33.630
2.3000, -32.813
2.4000, -33.136
2.5000, -32.164
2.6000, -30.986
2.7000, -30.069
2.8000, -28.999
2.9000, -27.899
3.0000, -26.122
3.1000, -23.904
3.2000, -20.747
3.3000, -15.659
3.4000, -11.248
3.5000, -6.2262
3.6000, -2.0481
3.7000, 2.0974
3.8000, 6.5862
3.9000, 11.157
4.0000, 15.326
4.1000, 19.441
4.2000, 24.036
4.3000, 27.752
4.4000, 31.487
4.5000, 32.981
4.6000, 34.365
4.7000, 35.225
4.8000, 35.880
4.9000, 36.295
