t,T
1.0000, -43.819
2.0000, -37.204
3.0000, -36.764
4.0000, -36.601
5.0000, -36.186
6.0000, -36.138
7.0000, -36.156
8.0000, -36.156
9.0000, -35.339
10.000, -33.340
11.000, -29.917
12.000, -27.697
13.000, -25.437
14.000, -21.619
15.000, -17.550
16.000, -16.249
17.000, -15.887
18.000, -15.564
19.000, -15.472
20.000, -15.646
21.000, -15.654
22.000, -15.392
23.000, -15.547
24.000, -15.647
25.000, -15.565
26.000, -15.647
27.000, -14.628
28.000, -13.086
29.000, -10.087
30.000, -7.8549
31.000, -5.7067
32.000, -3.0328
33.000, -0.67065
34.000, 2.1945
35.000, 4.7313
36.000, 6.8780
37.000, 9.7935
38.000, 12.682
39.000, 15.386
