t,P
0, 0
0.166, 26.933
0.332, 67.498
0.498, 98.827
0.664, 98.765
0.830, 98.087
0.996, 84.930
1.162, 84.930
1.328, 84.930
1.494, 84.930
1.660, 84.930
1.826, 84.930
1.992, 84.930
2.158, 84.930
2.324, 84.930
2.490, 84.930
2.656, 84.930
2.822, 84.930
2.988, 84.930
3.154, 84.930
3.320, 84.930
3.486, 84.930
3.652, 84.930
3.818, 84.938
3.984, 93.833
4.150, 93.833
4.316, 93.833
4.482, 93.833
4.648, 93.833
4.814, 84.930
4.980, 84.930
5.146, 83.156
5.312, 77.054
5.478, 71.818
5.644, 71.818
5.810, 71.818
5.976, 71.818
6.142, 71.818
6.308, 71.825
6.474, 76.047
6.640, 76.089
6.806, 76.089
6.972, 76.089
7.138, 78.320
7.304, 84.930
7.470, 93.827
7.636, 92.454
7.802, 88.878
7.968, 98.823
8.134, 95.761
8.300, 98.994
8.466, 99.049
0.003, 0.015
