t,T
0.000, -31.931
0.167, -30.012
0.333, -26.484
0.500, -20.753
0.666, -16.564
0.833, -13.840
1.000, -14.346
1.166, -13.704
1.333, -13.122
1.499, -12.791
1.666, -12.460
1.833, -12.458
1.999, -12.184
2.166, -11.908
2.332, -11.580
2.499, -11.533
2.666, -11.245
2.832, -11.028
2.999, -10.699
3.165, -10.371
3.332, -9.941
3.499, -9.516
3.665, -8.873
3.832, -8.264
3.998, -6.710
4.165, -5.434
4.332, -4.178
4.498, -2.603
4.665, -0.713
4.831, 1.618
4.998, 3.756
5.165, 7.425
5.331, 11.640
5.498, 15.605
5.664, 21.313
5.831, 24.349
5.998, 26.274
6.164, 27.896
6.331, 28.800
6.497, 30.855
6.664, 31.805
6.831, 32.908
6.997, 33.714
7.164, 34.398
7.330, 36.398
7.497, 38.448
7.664, 38.430
7.830, 31.479
7.997, 37.623
8.163, 34.743
8.330, 35.189
