t,pch
0.000, 11.067
0.167, 11.089
0.333, 13.158
0.500, 15.955
0.667, 18.390
0.833, 19.115
1.000, 17.982
1.167, 17.010
1.333, 16.990
1.500, 16.992
1.667, 15.960
1.833, 15.942
2.000, 14.975
2.167, 15.037
2.333, 14.988
2.500, 14.969
2.667, 14.015
2.833, 13.991
3.000, 13.970
3.167, 14.002
3.333, 14.012
3.500, 13.470
3.667, 12.971
3.833, 12.932
4.000, 12.910
4.166, 12.938
4.333, 12.918
4.500, 12.915
4.666, 11.974
4.833, 11.975
5.000, 10.908
5.166, 9.978
5.333, 9.025
5.500, 8.036
5.666, 7.072
5.833, 6.003
6.000, 6.013
6.166, 6.007
6.333, 5.959
6.500, 5.460
6.666, 4.946
6.833, 4.964
7.000, 4.964
7.166, 4.958
7.333, 4.926
7.500, 4.943
7.666, 4.937
7.833, 4.921
8.000, 4.949
8.166, 4.920
8.333, 4.947
8.500, 4.963
